"title","text","url"
"The most disrespected workers are black women, aged over 45, in local councils","New survey finds that older black women face a ""triple assault"" of racism, sexism and ageism.","https://www.voice-online.co.uk/news/2021/09/29/the-most-disrespected-workers-are-black-women-aged-over-45-in-local-councils/"
"Report it: Div Pillay’s rolling out anonymous reporting to help end racism and discrimination at work","The #NotMe App is an anonynous option for reporting misconduct as well as experiences of racism and discrimination.","https://womensagenda.com.au/latest/report-it-div-pillays-rolling-out-an-anonymous-reporting-to-help-end-racism-and-discrimination-at-work/"
"Have Assisted Dying Laws Gone Too Far? | The Walrus","As Canada expands access to MAID, many people with disabilities are sounding the alarm. Some say the law was flawed from the outset","https://thewalrus.ca/assisted-dying/"
"'The child once born, is not authorised': Couple wins racial discrimination case against landlord","The tenants, who are of Kenyan origin, accused the husband-and-wife owners of the building of a campaign against them that included racial discrimination, surveillance, obstructing access and ""humiliating and offensive"" language.","https://www.abc.net.au/news/2023-06-09/couple-threatened-with-eviction-racial-discrimination-case/102446338"
"Race discrimination restricts access to leadership roles in Australia","Employers are showing bias and offering leadership positions to job applicants with English names over other ethnic minorities.","https://hrmasia.com/race-discrimination-restricts-access-to-leadership-roles-in-australia/"
"Meanwhile","TW: Murder, racism, gun violence, white supremacy, anti-Blackness.  The white woman in this picture is Susan Lorincz. 4 days ago in Florida, Susan used a high-caliber firearm to murder Ajike Owens, a Black woman and mother of four. Why? Susan got into an argument with Owens' children over a tablet,","https://www.pharoahbolding.com/blog/meanwhile"
"Tunisian black women: ‘My skin colour says I don’t belong’","Black women in the North African country are looked down on and made to feel that they do not belong.","https://www.bbc.com/news/world-africa-65808661"
"Damien has travelled Australia talking to communities about the Voice. Here's what he found","In some of Australia's most remote communities, where many don't speak English as a first language, an Indigenous community broadcaster is reaching out to learn residents' views about the Indigenous Voice to Parliament ahead of the referendum.","https://www.abc.net.au/news/2023-06-08/indigenous-voice-to-parliament-nt-remote-communities-ictv-videos/102414350"
"Post | LinkedIn","","https://www.linkedin.com/posts/elizabeth-lang_joelbervell-melanoma-skincancer-activity-7071771973185388544-NAsz/?utm_source=share&utm_medium=member_desktop"
"Companies Grossly Underestimating How Many Disabled Employees They Have, Study Shows","A new report from Boston Consulting Group has highlighted a staggering lack of awareness amongst employers about how many staff with disabilities they have working in their organization. The data has serious implications for both people strategy investment and employee engagement.","https://www.forbes.com/sites/gusalexiou/2023/05/28/companies-grossly-underestimating-how-many-disabled-employees-they-have-study-shows/"
